"submission #",keyphrase,confidence
67,"luanne freund",60
67,"rick kopak",60
67,"inapp condition",50
67,"social reading system",47
67,"app condition",40
67,"comprehension score",40
67,"conceptual understanding",40
67,"deep reading",40
67,"eye tracking",40
67,"interview data",40
67,"pre existing",40
67,"samuel dodson",40
67,"surface level",40
67,"text comprehension",40
68,"digital library",80
68,"open genealogy data",79
68,"census database",70
68,"census record",70
68,"automatic handwriting recognition",63
68,"census data",60
68,"computer assisted crowd transcription",60
68,"enumeration district",60
68,"transcription assignment",60
68,"handwriting recognition",50
68,"brigham young university",47
68,"document analysis",40
68,"personalized assignment",40
68,"search portal",40
68,"sheet number",40
69,"econstor author",90
69,"open access repository",79
69,"linked data",70
69,"author profile page",63
69,"authority data",60
69,"authority control",50
69,"authority file",50
69,"biographical information",50
69,"external identifier",50
69,"author related information",47
69,"external data source",47
69,"leibniz information center",47
69,"zbw leibniz information",47
69,"econstor publication",40
69,"handle url",40
69,"identifier system",40
70,"european research information service",120
70,"publication type",120
70,"social science",110
70,"research information",70
70,"information system",65
70,"publication title publication",63
70,"virta enressh pilot",63
70,"european level",60
70,"research evaluation",60
70,"data collection",50
70,"data content",50
70,"publication metadata",50
70,"working group",50
70,"publication data collection",47
70,"publication type classification",47
70,"research information system",47
70,"title publication type",47
70,"understanding ssh research",47
70,"university based research",47
70,"information service",45
70,"digital library",40
70,"local crisis",40
70,"national research information system",40
70,"ontology based data management",40
70,"research organization",40
70,"science policy",40
70,"virta publication information service",40
71,"query suggestion",510
71,"aware diversified query suggestion",140
71,"time aware",100
71,"time aware query suggestion",100
71,"information retrieval",90
71,"time point",90
71,"candidate query",80
71,"aol query log",79
71,"diversifying query suggestion",79
71,"query suggestion diversification",63
71,"url bipartite graph",63
71,"probabilistic query suggestion framework",60
71,"aware query suggestion",55
71,"diverse time",50
71,"suggested query",50
71,"temporally ambiguous query",47
71,"context aware query suggestion",40
71,"hitting time",40
71,"query aspect",40
71,"query url",40
71,"search engine",40
71,"texa usa",40
73,"web archives",667
73,"public web archives",475
73,"private web archives",269
73,"private web",183
73,"memento aggregator",180
73,"public web",180
73,"personal web archives",158
73,"web archive",144
73,"live web",120
73,"mat kelly",120
73,"personal web",113
73,"additional attribute",100
73,"web archiving",100
73,"content negotiation",80
73,"login page",80
73,"short circuiting",80
73,"content based attribute",79
73,"conventional memento aggregator",79
73,"memento meta aggregator",79
73,"private web archive",79
73,"internet archive",70
73,"private capture",70
73,"snowden archive",70
73,"status code",70
73,"personal web archiving",63
73,"derived attribute",60
73,"old dominion university norfolk",60
73,"web page",60
73,"access attribute",50
73,"sawood alam",50
74,"ocr error",300
74,"document collection",160
74,"retrievability bias",160
74,"character error rate",142
74,"ocr quality",120
74,"query term",120
74,"gini coefficient",110
74,"error rate",95
74,"digital library",90
74,"retrievability score",90
74,"crowdsourcing ocr improvement",79
74,"jacco van ossenbruggen",79
74,"information retrieval",70
74,"multi term query",63
74,"direct impact",60
74,"manually corrected ground truth",60
74,"texa usa",60
74,"corrected document",50
74,"corrected version",50
74,"lynda hardman",50
74,"retrieval model",50
74,"total wealth",50
74,"ground truth",45
74,"cutoff value",40
74,"digitized document",40
74,"historic newspaper",40
74,"informatica amsterdam",40
74,"leif azzopardi",40
74,"retrieval bias",40
74,"sub collection",40
75,"tf idf value",190
75,"gold standard keyphras",158
75,"keyphrase extraction",150
75,"natural language processing",126
75,"descending utility property",110
75,"gold standard",103
75,"automatic keyphrase extraction",79
75,"computational linguistic",70
75,"keyphrase scoring",70
75,"method agnostic keyphrase scoring",60
75,"ranked list",60
75,"empirical method",50
75,"automatic keyword extraction",47
75,"extraction method",40
75,"high tf idf value",40
75,"information retrieval",40
75,"nil witt",40
75,"texa usa",40
76,"question answering",333
76,"candidate answer",245
76,"retrieved paragraph",210
76,"answer extraction",200
76,"question answering system",174
76,"asked question",170
76,"natural language",142
76,"named entity",140
76,"open domain factoid question",140
76,"textual entailment",130
76,"similarity score",120
76,"semantic similarity",100
76,"open domain",96
76,"question term",90
76,"similarity scorer",90
76,"information retrieval",80
76,"knowledge base",80
76,"paragraph validation",80
76,"expected answer type",79
76,"natural language question",79
76,"passage retrieval",70
76,"word order",70
76,"computational linguistic",60
76,"cosine similarity",60
76,"open domain factoid",55
76,"factoid question",50
76,"hot term",50
76,"restricted domain",50
76,"world cup",50
76,"candidate answer set",47
77,"answer extraction",195
77,"question answering",168
77,"question category",140
77,"forum thread",110
77,"query likelihood model",110
77,"kl divergence score",95
77,"community question answering",79
77,"discussion board",70
77,"finding answer",70
77,"divergence language model",63
77,"kl divergence language",63
77,"text quality score",63
77,"answer detection",60
77,"answer type",60
77,"computer science",60
77,"expected answer",60
77,"information retrieval",60
77,"online forum",60
77,"pattern based answer extraction",60
77,"quality answer",60
77,"query based answer extraction",60
77,"question core",60
77,"stop word",60
77,"language model",50
77,"question query",50
77,"score value",50
77,"text quality",50
77,"wrong answer",50
77,"graph query likelihood",47
77,"question answering system",47
78,"blockchain network",100
78,"author contribution",80
78,"contribution rate",80
78,"author contribution rate",63
78,"author contribution verification",63
78,"contribution verification model",63
78,"data transaction",60
78,"private blockchain network",47
78,"state transition function",47
78,"blockchain technology",40
78,"edit distance",40
79,"meta path",560
79,"tag recommendation",362
79,"stack overflow",250
79,"heterogeneous information network",237
79,"tagcombine seedtag meta path",180
79,"seed tag",170
79,"question text",160
79,"view count",140
79,"seed tag extraction",126
79,"tag recommendation framework",126
79,"tag recommendation system",126
79,"answer count",120
79,"efficient question tag recommendation",120
79,"network based efficient question",120
79,"chandra bhanu jha",110
79,"exact k accuracy",110
79,"seedtag meta path",110
79,"suman kalyan maity",110
79,"tagcombine seedtag meta",110
79,"comment count",100
79,"information network",100
79,"random walk with restart",100
79,"texa prithwish usa mukherjee",100
79,"top k accuracy",95
79,"yizhou sun",90
79,"heterogeneous network",85
79,"question score",80
79,"social tagging",80
79,"top k tag",79
79,"lower range",70
80,"institutional archive",170
80,"web resource",153
80,"multi page storey",142
80,"institutional archives",130
80,"personal archives",120
80,"personal archiving",110
80,"web page",110
80,"personal archiving scenario",95
80,"personal archive",90
80,"primary page",80
80,"institutional archiving scenario",79
80,"linked page",70
80,"page resource",70
80,"institutional archiving",65
80,"web resource boundary",63
80,"multi page",60
80,"archiving scenario",55
80,"linked content",50
80,"multi page story",47
80,"page story resource",47
80,"image collection",40
80,"institutional archive comparison agreement",40
80,"later image",40
81,"twitter account",245
81,"adjusted reputation rank",206
81,"twitter follower",190
81,"social medium",180
81,"ranking list",150
81,"ranking system",150
81,"money magazine",130
81,"ute score",110
81,"official twitter account",95
81,"secondary twitter account",95
81,"higher education",80
81,"university university",80
81,"university twitter engagement",79
81,"secondary twitter",76
81,"secondary account",70
81,"undergraduate enrollment",70
81,"university home page",63
81,"ncaa power",60
81,"old dominion university computer",60
81,"ute rank",60
81,"academic ranking",50
81,"composite ranking",50
81,"data collection",50
81,"full dataset",50
81,"home page",50
81,"secondary domain",50
81,"strong correlation",50
81,"twitter following",50
81,"twitter friend",50
81,"mining official twitter",47
82,"role mention",270
82,"object cluster",100
82,"natural language",80
82,"author contribution",75
82,"author role",70
82,"contribution section",70
82,"action keyword",60
82,"object keyword",60
82,"subject role",60
82,"action cluster",50
82,"final manuscript",50
82,"individual role",50
82,"information extraction",50
82,"openie tool",50
82,"role cluster",50
82,"study design",50
82,"adapt centre trinity",47
82,"author contribution section",47
82,"centre trinity college",47
82,"college dublin ireland",47
82,"distinct action object",47
82,"open information extraction",47
82,"paper drafting paper",47
82,"paper review paper",47
82,"review paper revision",47
82,"trinity college dublin",47
82,"pubmed central open access subset",46
82,"individual author",40
82,"object concept",40
82,"paper writing",40
83,"entity aspect",320
83,"entity aspect linking",285
83,"simone paolo ponzetto",221
83,"entity linking",175
83,"aspect linking",150
83,"federico nanni",150
83,"aspect representation",110
83,"laura dietz",110
83,"entity link",100
83,"fine grained semantic",95
83,"hillary clinton",90
83,"digital library",85
83,"digital humanity",80
83,"knowledge base",80
83,"entity mention",70
83,"presidential campaign",70
83,"semantic feature",70
83,"aspect linking task",63
83,"entity aspect link",63
83,"long tail entity",63
83,"sub topic",60
83,"content feature",50
83,"digital librarian",50
83,"entity embedding",50
83,"entity ranking",50
83,"named entity",50
83,"relevant aspect",50
83,"relevant entity",50
83,"user query",50
83,"word embedding",50
84,"reference parsing",324
84,"reference string",250
84,"regular expression",230
84,"metadata field",220
84,"machine learning",196
84,"metadata field type",126
84,"non ml based tool",120
84,"anystyle parser",110
84,"citation parser",110
84,"learning based tool",110
84,"ml based tool",110
84,"supervised machine learning",95
84,"bibliographic reference",90
84,"reference tagger",80
84,"reference parsing task",79
84,"reference parsing tool",79
84,"reference parser",70
84,"retrained version",70
84,"adapt centre trinity",63
84,"bibliographic reference parsing",63
84,"centre trinity college",63
84,"college dublin ireland",63
84,"conditional random field",63
84,"trinity college dublin",63
84,"box tool",60
84,"digital library",60
84,"ground truth",60
84,"knowledge base",60
84,"open source reference parser",60
84,"training data",60
85,"query entity",870
85,"semantic layer",260
85,"probabilistic model",150
85,"sparql query",120
85,"stochastic model",120
85,"multiple entity",110
85,"ranking archived document",110
85,"important time",100
85,"nelson mandela",100
85,"structured query",100
85,"archived document",90
85,"evaluation dataset",80
85,"ranking model",80
85,"related entity",80
85,"texa usa",80
85,"ground truth dataset",79
85,"information retrieval",70
85,"vaibhav kasturia",70
85,"wolfgang nejdl",70
85,"entity linking system",63
85,"query requesting article",63
85,"world wide web",63
85,"document mentioning",60
85,"information need",60
85,"knowledge graph",60
85,"web archives",60
85,"category query",50
85,"knowledge base",50
85,"query type",50
85,"relevance score",50
86,"search performance",872
86,"cross device search",871
86,"post switch session",824
86,"pre switch session",523
86,"user search performance",507
86,"cross device",482
86,"post switch",480
86,"pre switch",470
86,"switch session",455
86,"device search",454
86,"valid click",360
86,"effective search time",332
86,"search task",230
86,"search behavior",210
86,"mobile switch",200
86,"desktop switch",180
86,"device transition",180
86,"device search process",142
86,"mobile search",140
86,"desktop search",130
86,"dynamic change",130
86,"level likert scale",110
86,"search process",110
86,"relevant result",105
86,"device switching",100
86,"search session",100
86,"device switching direction",95
86,"spot search performance",95
86,"effective query",90
86,"search system",90
89,"citation data",233
89,"linked open citation database",200
89,"editorial system",170
89,"bibliographic resource",160
89,"reference extraction",153
89,"automatic reference extraction",142
89,"mannheim university library",126
89,"external source",100
89,"external suggestion",100
89,"reference list",100
89,"social science",100
89,"open citation",90
89,"automatic reference",80
89,"image based reference extraction",80
89,"reference string",80
89,"scanned document",80
89,"zbw leibniz information centre",80
89,"automatic reference extractor",79
89,"linked open data",79
89,"loc db system",79
89,"text based extraction",79
89,"reference linking",70
89,"uni mannheim",70
89,"open citation data",63
89,"reference linking time",63
89,"citation link",60
89,"data model",60
89,"dfki german research center",60
89,"front end",60
89,"project linked open citation",60
90,"data source",70
90,"metadata harvesting",70
90,"weighting factor",60
90,"digital library",50
90,"literature database",50
90,"pseudo relevance",50
90,"christopher michel",40
90,"information quality",40
90,"quality metric",40
90,"ralf schenkel",40
90,"ranking factor",40
90,"web page",40
91,"book review",225
91,"aspect extraction",130
91,"annotation schema",100
91,"recommender system",90
91,"aspect based sentiment analysis",80
91,"digital library",70
91,"non expert review",63
91,"milagros fernandez gavilane",47
91,"scholarly book review",47
91,"amazon review",40
91,"expert review",40
91,"non expert",40
91,"recommendation system",40
91,"texa usa",40
92,"social network",203
92,"social medium",170
92,"social medium platform",126
92,"marriage record",110
92,"special collection",110
92,"social security death index",80
92,"factual biography",70
92,"mexico city",70
92,"student newspaper",60
92,"candid photo",50
92,"formal record",50
92,"local newspaper",50
92,"permanent material",50
92,"primary material",50
92,"allen ginsberg paper",47
92,"social network connection",47
92,"subject social network",47
92,"biographical collection",40
92,"census sheet",40
92,"columbia university",40
92,"death record",40
92,"jack kerouac",40
92,"joan burrough",40
92,"public librarys berg collection",40
92,"social connection",40
92,"social security",40
92,"subject life",40
92,"william burrough",40
92,"york time",40
93,"digital library",90
93,"large scale data",47
93,"texa advanced computing center",40
94,"data deduplication",453
94,"indexing attribute",327
94,"best attribute",310
94,"duplicate record",300
94,"sorted neighborhood algorithm",221
94,"standard blocking",210
94,"data deduplication process",206
94,"address2 suburb culture state",200
94,"relevant attribute",200
94,"data deduplication result",184
94,"culture state title",158
94,"efficiency standard blocking",158
94,"schema based configuration",158
94,"standard blocking algorithm",158
94,"sorted neighborhood",140
94,"record comparison",130
94,"best data deduplication result",120
94,"real dataset",120
94,"de souza silva",110
94,"schema agnostic",110
94,"effective attribute",90
94,"record linkage",90
94,"block key",80
94,"synthetic dataset",80
94,"machine learning algorithm",79
94,"automatic identification",70
94,"large dataset",70
94,"texa usa",70
94,"best indexing attribute",63
94,"f measure value",63
95,"debutant topic",400
95,"evolutionary network",280
95,"research topic",190
95,"gold standard",180
95,"research area",160
95,"advanced clique percolation method",140
95,"topic network",110
95,"semantic enhanced topic network",100
95,"topic topic topic",95
95,"ego network",90
95,"related topic",80
95,"super area",80
95,"clique adjacency graph",79
95,"k clique adjacency",79
95,"computer science",70
95,"clique percolation method",63
95,"community detection algorithm",63
95,"semantic search",60
95,"semantic web",60
95,"embryonic stage",50
95,"emerging topic",50
95,"influential author",50
95,"information retrieval",50
95,"information system",50
95,"research community",50
95,"research trend",50
95,"similarity threshold",50
95,"latent dirichlet allocation",47
95,"very large cluster",47
95,"world wide web",47
96,"eye tracking",80
96,"eye tracking tool",63
96,"eye tracker",50
96,"user experience",50
96,"user experience study",47
97,"interdisciplinary collaboration",210
97,"major area",210
97,"coauthorship network",123
97,"biological science",110
97,"agrarian science",80
97,"scientific coauthorship network",63
97,"giant component",60
97,"research group",60
97,"research area",50
97,"scientific collaboration",50
97,"scientific community",50
97,"social science",50
97,"brazilian coauthorship network",47
97,"brazilian scientific coauthorship network",40
97,"health science",40
98,"news article",410
98,"main event",286
98,"scoring factor",253
98,"main event descriptor",142
98,"article main event",126
98,"causal relation",90
98,"natural language processing",79
98,"event descriptor",75
98,"candidate scoring",70
98,"extraction performance",70
98,"question answering",70
98,"explicit event descriptor",63
98,"copulative conjunction",60
98,"information system",60
98,"analysis task",50
98,"annotated phrase",50
98,"combined scoring",50
98,"computational linguistic",50
98,"how question",50
98,"lead paragraph",50
98,"location candidate",50
98,"named entity",50
98,"natural language",50
98,"publishing date",50
98,"first open source",47
98,"semantic role labeling",47
98,"third scoring factor",47
98,"w1h extraction method",47
98,"w1h extraction system",47
98,"weighted scoring factor",47
99,"scoring scheme",280
99,"vector space model",190
99,"information retrieval",186
99,"subject based scoring",174
99,"digital library",140
99,"subject based vector",126
99,"document retrieval",120
99,"subject based document retrieval",120
99,"top retrieved document",79
99,"vector space",70
99,"document clustering",60
99,"document collection",60
99,"mechanical product design methodology",60
99,"query term",60
99,"subject based vectorized representation",60
99,"user query",60
99,"relevant document",50
99,"retrieved document",50
99,"information retrieval model",47
99,"keyword subject matrix",47
99,"subject based representation",47
99,"travel time uncertainty",47
99,"azadeh mohebi",40
99,"bayesian network",40
99,"constraint based metabolic network",40
99,"derived mesenchymal stem cell",40
99,"information technology",40
99,"marrow derived mesenchymal stem",40
99,"self modeling curve resolution",40
100,"citation context",1281
100,"citation context list",491
100,"information retrieval",250
100,"cited paper",160
100,"diverse citation context list",160
100,"cited article",130
100,"diversification strategy",130
100,"search result diversification",110
100,"academic literature",100
100,"citation recommendation",90
100,"ranking algorithm",90
100,"semantic distance",90
100,"sorted list",80
100,"diverse citation context",79
100,"explicit semantic analysis",79
100,"knowledge recommendation",70
100,"user case study",63
100,"citing article",60
100,"score difference",60
100,"research design",50
100,"texa usa",50
100,"cohen kappa score",47
100,"maximal marginal relevance",47
100,"natural language processing",47
100,"scientific article summarization",47
100,"semantic distance algorithm",47
100,"citeseerx database",40
100,"divscore algorithm",40
100,"redundant information",40
100,"text summarization",40
101,"associate information",380
101,"associating information",360
101,"digital document",320
101,"bidirectional association",220
101,"physical document",190
101,"create association",150
101,"entire document",150
101,"unidirectional association",150
101,"cross document linking",142
101,"association mechanism",130
101,"separate document",130
101,"cross document",106
101,"system folder",100
101,"bibliography reference manager",95
101,"linked document",90
101,"online survey",90
101,"associated part",80
101,"association resulting",80
101,"document linking mechanism",79
101,"personal information management",79
101,"design implication",70
101,"digital medium",70
101,"document linking",63
101,"document linking solution",63
101,"reading and writing",63
101,"beat signer",60
101,"digital scenario",60
101,"used mechanism",60
101,"user behaviour",60
101,"use annotation",50
102,"strong witness",320
102,"scientific claim",260
102,"knowledge base",230
102,"digital library",160
102,"plausible claim",110
102,"document collection",100
102,"skyline operator",100
102,"pancreatic cancer",80
102,"support vector machine",79
102,"candidate claim",70
102,"digital library collection",63
102,"high quality",60
102,"high quality knowledge base",60
102,"machine learning",60
102,"word embedding",60
102,"crowdsourcing task",50
102,"pareto semantic",50
102,"semantic type",50
102,"word feature",50
102,"high quality content",47
102,"knowledge base construction",47
102,"natural language processing",47
102,"strong scientific claim",47
102,"word mover distance",47
102,"natural language",45
102,"coffee consumption",40
102,"dominant relation",40
102,"non beneficial",40
102,"real world",40
102,"skyline set",40
103,"recurrent neural network",110
103,"neural network",103
103,"eeg segment",100
103,"eeg signal",80
103,"gru model",80
103,"short term memory",79
103,"gated recurrent unit",63
103,"eeg data",60
103,"epileptic patient",60
103,"eeg recording",40
103,"electrical activity",40
103,"healthy eeg surface eeg",40
103,"hidden state",40
103,"performance analysis",40
103,"seizure prediction",40
104,"authority record",215
104,"authority data",190
104,"data element",135
104,"data collection point",110
104,"linked data",100
104,"linked data enabling element",100
104,"personal name authority record",80
104,"rda based field",79
104,"metadata change",70
104,"marc authority",62
104,"rda based data element",60
104,"rda based marc authority",60
104,"rda based marc field",60
104,"digital library",50
104,"linked data enabling",47
104,"marc authority record",47
104,"marc authority standard",47
104,"name authority record",47
104,"rda based marc",47
104,"data collection",40
104,"metadata record",40
104,"personal name",40
104,"rda based authority data",40
104,"rda based authority record",40
104,"rda standard",40
104,"real world object uri",40
104,"resource description",40
104,"variable field",40
105,"session context",230
105,"seed document",170
105,"stratagem search",170
105,"exploratory search",160
105,"philipp mayr",140
105,"living lab",133
105,"history size",130
105,"contextual ranking feature",126
105,"implicit relevance signal",126
105,"digital library",120
105,"search activity",120
105,"search result",120
105,"implicit relevance",116
105,"user search",110
105,"default ranking",100
105,"digital librarys living lab",100
105,"global usefulness",100
105,"local usefulness",100
105,"ranking feature",100
105,"zeljko carevic",100
105,"implicit relevance feedback",95
105,"user search context",95
105,"document similarity",90
105,"contextualised browsing",80
105,"document view",80
105,"information retrieval",80
105,"living lab study",79
105,"non contextualised baseline",79
105,"user information need",79
105,"relevance feedback",70
106,"digital library",533
106,"information retrieval",235
106,"information searching",186
106,"search task",180
106,"iir system",160
106,"user interaction",150
106,"information searching behaviour",126
106,"real user",120
106,"simulated user",120
106,"digital collection",110
106,"information science",110
106,"user model",100
106,"dl searcher model",95
106,"interactive information retrieval",95
106,"leif azzopardi",90
106,"work task",90
106,"information need",80
106,"information seeking",80
106,"interactive information retrieval system",80
106,"searching behaviour",80
106,"library related task",79
106,"kalervo jaervelin",70
106,"search behaviour",70
106,"search strategy",70
106,"user simulation",70
106,"user study",70
106,"digital library system",63
106,"information seeking task",63
106,"ling method",50
106,"searching task",50
107,"author paper",110
107,"pu learning model",110
107,"reliable negative",100
107,"scholarly recommendation",70
107,"training data",70
107,"naive baye classifier",63
107,"heterogeneous graph",60
107,"learning model",55
107,"relevant paper",50
107,"classi f ier",47
107,"non pu learning",47
107,"random walk probability",47
107,"graphical feature",40
107,"meta path",40
107,"paper recommendation",40
107,"random walk",40
107,"random walk probability score",40
107,"stratified k fold cross",40
107,"threshold probability",40
107,"word vector",40
108,"knowledge base",215
108,"entity linking",155
108,"aida babelfy dbpedia spotlight",100
108,"early english legal document",100
108,"gold standard",90
108,"eu ner fox",79
108,"fox kea pboh",79
108,"investigating entity linking",79
108,"kea pboh wat",79
108,"ner fox kea",79
108,"popular knowledge base",79
108,"spotlight dexter entityclassifier",79
108,"annotation system",70
108,"disambiguation system",70
108,"emerging entity",70
108,"annotator agdistis aida",63
108,"f1 macro precision",63
108,"f1 micro precision",63
108,"macro f1 macro",63
108,"macro precision macro",63
108,"macro recall micro",63
108,"micro f1 micro",63
108,"micro precision micro",63
108,"precision macro recall",63
108,"recall micro f1",63
108,"world wide web",63
108,"named entity",60
108,"texa usa",60
108,"digital humanity",50
108,"entity recognition",50
109,"contextual browsing",490
109,"seed workset",320
109,"large scale digital library",240
109,"information seeking",210
109,"prioritised contextual browsing",190
109,"similarity distribution",185
109,"large scale",170
109,"reset context strategy",126
109,"contextual metadata",120
109,"serendipitous discovery",120
109,"large scale dl",110
109,"reset context",110
109,"information seeking behaviour",95
109,"digital library",80
109,"entity description",80
109,"prioritised context",80
109,"unprioritised context",70
109,"information seeking strategy",63
109,"roman catholic theologian",63
109,"steady state simulation",63
109,"information behaviour",60
109,"information filtering",60
109,"information need",60
109,"link discovery",60
109,"linked data",60
109,"passive search",60
109,"simulated strategy",60
109,"anchor specification",50
109,"benedictine writer",50
109,"information resource",50
110,"keyphrase extraction",232
110,"natural language processing",110
110,"information retrieval",70
110,"keyphrase extraction model",63
110,"digital library",60
110,"research paper",50
110,"digital library application",47
110,"keyphrase extraction task",47
110,"computer science",40
110,"corina florescu",40
110,"scientific document",40
111,"word embedding",170
111,"author name disambiguation",142
111,"co author similarity",95
111,"digital library",80
111,"publication title",80
111,"semantic feature",80
111,"semantic similarity",80
111,"content similarity",70
111,"co author evidence",63
111,"ambiguous author",50
111,"natural language processing",47
111,"publication co author",47
111,"test set split",47
111,"word embedding vector",47
112,"entity mixture",490
112,"entity mixture detection",253
112,"knowledge base",180
112,"mixed entity",160
112,"occurrence vector",150
112,"knowledge based service",142
112,"hierarchical clustering",140
112,"isaac newton",140
112,"object value",140
112,"detecting entity mixture",126
112,"information extraction",110
112,"knowledge based system",110
112,"name tuple",110
112,"similarity length ratio",79
112,"natural language",75
112,"name entity",70
112,"recall rate",70
112,"co occurrence document",63
112,"digital library",60
112,"relevant document",60
112,"big data",50
112,"data set",50
112,"domain expert",50
112,"eliminating entity mixture",47
112,"natural language processing",47
112,"non mixed triple",47
112,"real world entity",47
112,"strong accuracy rate",47
112,"subject predicate object",47
112,"strong accuracy",46
113,"pid kernel information",863
113,"kernel information",566
113,"data type registry",459
113,"data type",396
113,"pid kernel",285
113,"service time",210
113,"complex data type",190
113,"local handle service",190
113,"type registry",165
113,"digital object",153
113,"persistent identifier",150
113,"pid record",150
113,"handle system",140
113,"data object",130
113,"enhanced pid system",126
113,"pid kernel information profile",120
113,"pid system",120
113,"backbone provenance view",95
113,"handle service",90
113,"pid assignment",90
113,"local handle",85
113,"kernel information profile",79
113,"local handle server",79
113,"research data alliance",79
113,"pid resolution",70
113,"provenance view",70
113,"research data",65
113,"extended pid system",63
113,"global handle registry",63
113,"global handle service",63
114,"citation time interval",126
114,"heterogeneous network",90
114,"citation network",70
114,"heterogeneous academic network",47
114,"mutual reinforcement",40
114,"ranking algorithm",40
114,"venue ranking",40
115,"web archives",275
115,"archived web page",269
115,"http response header",237
115,"hash value",216
115,"embedded resource",210
115,"web page",190
115,"archive specific archive",158
115,"http status code",158
115,"merkle tree",140
115,"response header",125
115,"entity transient error response",120
115,"perma archives",120
115,"transient error response hdrs",120
115,"archived web",110
115,"archive specific",100
115,"archived page",100
115,"average chan em",79
115,"main html file",79
115,"selected uri rs",79
115,"leaf node",70
115,"root hash",70
115,"http entity body",63
115,"michael evil wayback",63
115,"technical report arxiv",63
115,"utm campaign womensmarch",63
115,"utm source tw",63
115,"composite memento",60
115,"old dominion university norfolk",60
115,"path length",60
115,"raw content",60
116,"news vertical",430
116,"story rate",405
116,"general serp",280
116,"general serp collection",253
116,"news storey",246
116,"vertical serp",230
116,"search engine",225
116,"news story",220
116,"serp collection",180
116,"collection building",177
116,"order page",160
116,"vertical serp collection",158
116,"date range parameter",142
116,"news vertical collection",126
116,"news vertical serp",126
116,"average new story rate",120
116,"google serp",120
116,"healthcare bill",120
116,"hurricane harvey",120
116,"manchester bombing",120
116,"date range",115
116,"page level",110
116,"web page",110
116,"digital library",100
116,"local news collection generator",100
116,"trump russia",100
116,"refinding news storey",95
116,"focused crawler",90
116,"higher order",80
116,"lower order",80
117,"socio technical interaction network",160
117,"dfw schizophrenia study team",140
117,"data repository",90
117,"digital library service",63
117,"schizophrenia study team",63
117,"digital service",50
117,"stin analysis",50
117,"digital library",40
117,"interdisciplinary informatics research collaboratory",40
117,"twu library",40
118,"time reference",200
118,"collective memory",180
118,"world war",160
118,"facet focused history",158
118,"general commemoration",156
118,"temporal expression",150
118,"general history",145
118,"focused history general commemoration",140
118,"general commemoration historical event",140
118,"historical event historical entity",140
118,"historical event",136
118,"historical entity",135
118,"history related content",110
118,"present entity",110
118,"regional history facet",110
118,"history related",100
118,"temporal reference",80
118,"history national",70
118,"category general history",63
118,"digital history",60
118,"social medium",60
118,"data collection",50
118,"donald trump",50
118,"entity type",50
118,"news article",50
118,"related tweets",50
118,"co occurring entity",47
118,"first world war",47
118,"general history hashtag",47
118,"history related hashtag",47
119,"citation count",152
119,"northern illinois university dekalb",80
119,"research article",80
119,"social medium",80
119,"citation prediction",70
119,"citation count prediction",63
119,"random forest",60
119,"knowledge management cikm",47
119,"machine learning model",47
119,"median citation count",47
119,"spectral evolution model",47
119,"content feature",40
119,"decision tree",40
119,"edu northern illinois university",40
119,"online platform",40
119,"scholarly impact",40
119,"scholarly work",40
119,"textual feature",40
120,"citation count",150
120,"accepted article",120
120,"acc article",100
120,"candidate article",100
120,"peer review",87
120,"peer review system",87
120,"computer science",80
120,"research article",80
120,"bibliography section",70
120,"desk rejection",70
120,"exhaustive list",70
120,"machine learning",70
120,"ai assisted peer review system",69
120,"d rej article",63
120,"d rej paper",63
120,"nucleic acid research",63
120,"primary author average",63
120,"impact reference",60
120,"meta data",60
120,"research score",60
120,"target paper",60
120,"temporal distance",60
120,"accepted paper",50
120,"affiliation feature",50
120,"author credibility",50
120,"citation analysis",50
120,"impact citation",50
120,"reference section",50
120,"scientific impact",50
120,"title scope",50
121,"news site",280
121,"news website",200
121,"pm eastern time",126
121,"election day",120
121,"hero story",110
121,"similarity score",110
121,"measuring news similarity",95
121,"entity similarity",90
121,"texa usa",90
121,"digital library",80
121,"document representation",80
121,"old dominion university norfolk",80
121,"similarity metric",80
121,"york time",80
121,"cosine similarity",60
121,"similarity measure",60
121,"veteran day",60
121,"hero storey",50
121,"naming convention",50
121,"news organization",50
121,"significant event",50
121,"top storey",50
121,"top story",50
121,"archives memento api",47
121,"collection similarity score",47
121,"internet archives memento",47
121,"top k storey",47
121,"collection building",40
121,"thanksgiving day",40
121,"usa today",40
122,"digital reading",461
122,"mobile reading",135
122,"china digital reading",126
122,"bigdata research co",95
122,"ireader technology co",95
122,"iresearch consulting group",95
122,"mobile reading market",95
122,"china digital reading industry",60
122,"china literature",60
122,"reading market",60
122,"white paper",60
122,"annual reading trend",47
122,"digital publishing association",47
122,"digital reading content",47
122,"e book reading",47
122,"big data",40
122,"china mobile reading market",40
122,"chinese internet literature industry",40
122,"consulting group",40
122,"copyright protection",40
122,"huge e reading market",40
122,"internet literature",40
122,"literature limited",40
122,"paid chinese e book",40
122,"printed book",40
122,"ranking list",40
122,"reading time",40
122,"th national reading survey",40
123,"collaborative filtering",236
123,"factorization machine",180
123,"neural collaborative filtering model",180
123,"uncertainty level",176
123,"collaborative filtering model",169
123,"ranking auc",130
123,"convolutional neural network",126
123,"multi layer perceptron",95
123,"sentence uncertainty classification",95
123,"knowledge discovery",90
123,"matrix factorization",85
123,"classification auc",80
123,"layer perceptron collaborative filtering",80
123,"multi layer",80
123,"term association",80
